Respondent,Hobbyist,Age,CompFreq,CompTotal,Country,CurrencySymbol,EdLevel,Employment,JobSat,NEWDevOps,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWStuck,OrgSize,PlatformDesireNextYear,Gender,UndergradMajor
3853.0,Yes,,Yearly,130000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,No,Yes,No,Visit Stack Overflow;Do other work and come back later,2 to 9 employees,Android;AWS;Docker;iOS;Kubernetes;Linux;MacOS;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
3855.0,Yes,43.0,Weekly,1333.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,Yes,No,Yes,Visit Stack Overflow;Watch help / tutorial videos,2 to 9 employees,Docker;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
3879.0,Yes,42.0,Yearly,120000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Once a year,Yes,No,Yes,Play games;Visit Stack Overflow;Do other work and come back later,"1,000 to 4,999 employees",Arduino;Linux;Raspberry Pi,Woman,Mathematics or statistics
3889.0,Yes,24.0,Yearly,118000.0,Poland,PLN,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,,Every few months,Yes,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"10,000 or more employees",Docker;Linux;MacOS,Woman,"Information systems, information technology, or system administration"
3891.0,Yes,48.0,Monthly,57000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Once a year,Yes,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,100 to 499 employees,AWS;Docker;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
3896.0,Yes,27.0,Yearly,115000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Every few months,Not sure,Yes,No,Call a coworker or friend;Go for a walk or other physical activity,100 to 499 employees,AWS;Docker;Heroku;Kubernetes;MacOS,Man,"A natural science (such as biology, chemistry, physics, etc.)"
3904.0,Yes,40.0,Yearly,60000.0,Greece,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,No,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,500 to 999 employees,AWS;Docker;Kubernetes;Linux,Woman,"Computer science, computer engineering, or software engineering"
3923.0,Yes,,Monthly,64554.0,United Kingdom,GBP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once every few years,Yes,No,Yes,Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,Android;Docker;iOS;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,Woman,"Computer science, computer engineering, or software engineering"
3955.0,Yes,28.0,Yearly,46000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once every few years,No,No,No,,100 to 499 employees,Docker;Kubernetes;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
3967.0,Yes,33.0,Yearly,62000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once every few years,Yes,Yes,Yes,Visit Stack Overflow;Watch help / tutorial videos;Visit another developer community (please name):,20 to 99 employees,AWS;Docker;Kubernetes;Linux;Windows,Man,"Computer science, computer engineering, or software engineering"
,Yes,29.0,Yearly,105000.0,Australia,AUD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once every few years,Not sure,No,Yes,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Linux;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
3981.0,Yes,42.0,Yearly,1000000.0,Norway,SEK,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,Yes,Once every few years,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,10 to 19 employees,Android;Docker;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
3998.0,Yes,33.0,Yearly,154000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,500 to 999 employees,Heroku;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
4027.0,Yes,29.0,Weekly,120000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,Yes,Every few months,Not sure,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,AWS;Docker;Google Cloud Platform;iOS;Linux;MacOS,Man,"A social science (such as anthropology, psychology, political science, etc.)"
4041.0,Yes,25.0,Yearly,78530.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"5,000 to 9,999 employees",Android;AWS;Docker;Kubernetes;Linux;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
4072.0,No,32.0,Monthly,150000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,20 to 99 employees,Android;AWS;Docker;iOS,Woman,"A social science (such as anthropology, psychology, political science, etc.)"
4083.0,Yes,24.0,Monthly,2000.0,Cyprus,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,,Every few months,Yes,Yes,Yes,Go for a walk or other physical activity,20 to 99 employees,Android;AWS;Google Cloud Platform;Kubernetes;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
4087.0,Yes,42.0,Yearly,75000.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Slightly dissatisfied,No,Once a year,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,"1,000 to 4,999 employees",Docker;Kubernetes;Linux;Windows,Man,"Computer science, computer engineering, or software engineering"
4096.0,Yes,44.0,Monthly,70000.0,Sweden,SEK,Some college/university study without earning a degree,Employed full-time,Very satisfied,No,Once every few years,No,No,Yes,Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
4119.0,,29.0,Yearly,80000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Every few months,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,100 to 499 employees,Docker;Google Cloud Platform;Kubernetes;MacOS,Man,"A natural science (such as biology, chemistry, physics, etc.)"
4143.0,Yes,36.0,Yearly,150000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,No,Yes,No,Call a coworker or friend;Visit Stack Overflow,20 to 99 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Woman,"A business discipline (such as accounting, finance, marketing, etc.)"
4158.0,Yes,40.0,Yearly,45000.0,United States,USD,"Associate degree (A.A., A.S., etc.)",Employed full-time,Slightly satisfied,No,Every few months,No,No,No,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,AWS;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
4183.0,Yes,39.0,Yearly,140.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Once a year,No,No,No,Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,AWS;Google Cloud Platform;Kubernetes;Slack Apps and Integrations,Man,"Information systems, information technology, or system administration"
,No,37.0,Monthly,1200.0,"Venezuela, Bolivarian Republic of...",USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,No,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,10 to 19 employees,Android;AWS;Docker;iOS;Kubernetes;Linux;Windows,Man,"Information systems, information technology, or system administration"
4227.0,,34.0,Yearly,80000.0,United States,USD,"Professional degree (JD, MD, etc.)",Employed full-time,Very satisfied,No,Every few months,Yes,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Docker;Linux;Microsoft Azure;Raspberry Pi,Woman,"A social science (such as anthropology, psychology, political science, etc.)"
4231.0,Yes,25.0,Monthly,860.0,Germany,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed part-time,Slightly satisfied,Not sure,Every few months,Not sure,No,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Android;Docker;Linux;Windows,Man,"Computer science, computer engineering, or software engineering"
4235.0,Yes,26.0,Monthly,9100.0,Brazil,BRL,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,Every few months,No,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,500 to 999 employees,Arduino;AWS;Docker;Heroku;Linux;MacOS;Slack Apps and Integrations;Windows,Woman,"Computer science, computer engineering, or software engineering"
4242.0,Yes,26.0,Yearly,90000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,Once a year,No,No,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Panic;Watch help / tutorial videos,500 to 999 employees,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Raspberry Pi,Man,"Information systems, information technology, or system administration"
4250.0,Yes,37.0,Yearly,105000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Once a year,No,No,Yes,Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later,2 to 9 employees,AWS;Kubernetes;Linux;MacOS;Raspberry Pi,Woman,"A humanities discipline (such as literature, history, philosophy, etc.)"
4280.0,No,,Yearly,125000.0,Canada,CAD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,Once a year,Not sure,No,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,20 to 99 employees,AWS;Docker;Kubernetes;Linux;MacOS;Windows,Woman,"Computer science, computer engineering, or software engineering"
4285.0,Yes,23.0,Yearly,93300.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Every few months,Not sure,No,No,Visit Stack Overflow;Do other work and come back later,"10,000 or more employees",AWS;Linux;MacOS,Woman,"Computer science, computer engineering, or software engineering"
4287.0,Yes,30.0,Yearly,65000.0,United Kingdom,GBP,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Yes,Yes,Yes,Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,AWS;Docker;Kubernetes;Linux;MacOS,Man,"Computer science, computer engineering, or software engineering"
4291.0,Yes,49.0,Yearly,112000.0,United States,USD,"Associate degree (A.A., A.S., etc.)",Employed full-time,Slightly satisfied,Yes,Every few months,No,No,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,"1,000 to 4,999 employees",Microsoft Azure;Windows,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
4310.0,Yes,30.0,Monthly,130000.0,Czech Republic,CZK,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"1,000 to 4,999 employees",,Woman,"Computer science, computer engineering, or software engineering"
4322.0,,28.0,Yearly,185000.0,Australia,AUD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,No,No,Yes,Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations,Woman,"Computer science, computer engineering, or software engineering"
4335.0,Yes,35.0,Yearly,100000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once every few years,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,20 to 99 employees,Android;iOS;MacOS;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
4348.0,Yes,39.0,Monthly,22000.0,Turkey,TRY,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,No,No,No,Call a coworker or friend;Visit Stack Overflow,"1,000 to 4,999 employees",Arduino;Docker;Kubernetes;Microsoft Azure;Raspberry Pi,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
4371.0,Yes,48.0,Yearly,122000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Very dissatisfied,Yes,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,"10,000 or more employees",AWS;Docker;Kubernetes;Linux;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
4377.0,,35.0,Monthly,4000.0,Bolivia,BOB,"Professional degree (JD, MD, etc.)",Employed full-time,Slightly dissatisfied,No,Every few months,Not sure,Yes,No,Visit Stack Overflow,2 to 9 employees,Android;Arduino;AWS;Docker;Linux;MacOS;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
4402.0,No,35.0,Yearly,78000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Very dissatisfied,No,Once every few years,Not sure,Yes,Yes,Play games;Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Docker;Linux;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
4415.0,Yes,27.0,Yearly,90000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Docker;Microsoft Azure;Windows,Woman,"A social science (such as anthropology, psychology, political science, etc.)"
4426.0,Yes,26.0,Yearly,138000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once every few years,No,No,Yes,,100 to 499 employees,Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations;WordPress,Man,"Information systems, information technology, or system administration"
4439.0,No,30.0,Yearly,140000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,AWS;Docker;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
4448.0,Yes,37.0,Yearly,115000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Once a year,Not sure,No,Yes,Meditate;Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,Android;iOS;Linux;Microsoft Azure;Raspberry Pi;Windows,Man,Web development or web design
4474.0,Yes,28.0,Yearly,80000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Neither satisfied nor dissatisfied,Yes,Once every few years,No,No,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,500 to 999 employees,Docker;Google Cloud Platform;Raspberry Pi,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
4497.0,Yes,38.0,Monthly,520000.0,Argentina,ARS,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,No,No,No,Visit Stack Overflow;Watch help / tutorial videos,20 to 99 employees,Docker;Microsoft Azure,Woman,"Computer science, computer engineering, or software engineering"
4535.0,Yes,34.0,Yearly,75000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,,No,Yes,Meditate;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,Android;AWS;Docker;iOS;Linux;MacOS;Slack Apps and Integrations;WordPress,Man,"A social science (such as anthropology, psychology, political science, etc.)"
4550.0,Yes,24.0,Monthly,64000.0,Russian Federation,RUB,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Once a year,No,No,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Arduino;Docker;Google Cloud Platform;Linux;Microsoft Azure,Man,"A natural science (such as biology, chemistry, physics, etc.)"
4653.0,Yes,22.0,Monthly,1365.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once a year,,Yes,No,Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,AWS;Docker;Google Cloud Platform;Linux,Man,"Computer science, computer engineering, or software engineering"
4668.0,Yes,26.0,Yearly,57000.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Every few months,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,10 to 19 employees,Docker;Google Cloud Platform;Linux;MacOS;Windows,Man,"Computer science, computer engineering, or software engineering"
4674.0,Yes,34.0,Yearly,150000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Every few months,Not sure,No,Yes,Meditate;Visit Stack Overflow;Go for a walk or other physical activity,20 to 99 employees,Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
4688.0,Yes,27.0,Yearly,85000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Every few months,No,No,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,10 to 19 employees,Android;AWS;Google Cloud Platform;Kubernetes;Windows,Man,"Computer science, computer engineering, or software engineering"
4710.0,,27.0,Yearly,130000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Very satisfied,No,Every few months,Yes,No,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Visit another developer community (please name):,10 to 19 employees,Android;AWS;Docker;iOS;MacOS,Man,"Computer science, computer engineering, or software engineering"
,Yes,38.0,Monthly,57200.0,Denmark,DKK,Some college/university study without earning a degree,Employed full-time,Very satisfied,Yes,Every few months,Yes,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,AWS;Docker;Kubernetes;Microsoft Azure;Raspberry Pi;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
4742.0,,34.0,Yearly,165000.0,United States,USD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",Android;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Windows,Woman,"Computer science, computer engineering, or software engineering"
4744.0,Yes,43.0,Monthly,11666.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Every few months,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity,10 to 19 employees,Android;Docker;Google Cloud Platform;Kubernetes;Linux,Woman,"Computer science, computer engineering, or software engineering"
4751.0,Yes,44.0,Yearly,195000.0,United States,USD,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Very satisfied,No,,No,Yes,Yes,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,100 to 499 employees,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
4757.0,Yes,46.0,Weekly,3340.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,Not sure,Once every few years,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,"1,000 to 4,999 employees",Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi,Woman,"Computer science, computer engineering, or software engineering"
4797.0,Yes,43.0,Yearly,72000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,Yes,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,100 to 499 employees,Android;Kubernetes;Linux;Slack Apps and Integrations;Windows;WordPress,Man,"Computer science, computer engineering, or software engineering"
4850.0,Yes,25.0,Yearly,85000.0,United Kingdom,GBP,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,Very satisfied,No,Every few months,No,Yes,No,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,100 to 499 employees,AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Slack Apps and Integrations,Man,"Computer science, computer engineering, or software engineering"
4853.0,Yes,42.0,Yearly,65000.0,United Kingdom,GBP,Some college/university study without earning a degree,Employed full-time,Slightly dissatisfied,No,Every few months,No,Yes,Yes,Visit Stack Overflow;Go for a walk or other physical activity;Visit another developer community (please name):,100 to 499 employees,Linux;Windows,Woman,"Computer science, computer engineering, or software engineering"
4857.0,No,28.0,Yearly,115000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Neither satisfied nor dissatisfied,No,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Do other work and come back later,20 to 99 employees,,Man,"Computer science, computer engineering, or software engineering"
4880.0,Yes,35.0,Yearly,92150.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,No,Once a year,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,"1,000 to 4,999 employees",AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Windows,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
4960.0,Yes,39.0,Yearly,76000.0,Canada,CAD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,Slightly satisfied,No,Once every few years,No,No,No,Play games;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,10 to 19 employees,Linux;Windows,Woman,"Computer science, computer engineering, or software engineering"
4971.0,Yes,25.0,Yearly,80000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,No,Once a year,Not sure,Yes,No,Visit Stack Overflow;Do other work and come back later,20 to 99 employees,Arduino;Docker;Linux;Microsoft Azure;Raspberry Pi,Man,"Computer science, computer engineering, or software engineering"
5044.0,Yes,34.0,Yearly,70000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly dissatisfied,Yes,Every few months,Not sure,No,No,Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,2 to 9 employees,Android;Arduino;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,Man,"Computer science, computer engineering, or software engineering"
,Yes,41.0,Yearly,157000.0,United States,USD,Some college/university study without earning a degree,Employed full-time,Slightly satisfied,Yes,Every few months,Not sure,No,No,Visit Stack Overflow;Go for a walk or other physical activity,"1,000 to 4,999 employees",AWS;Docker;Google Cloud Platform;Kubernetes;MacOS,Man,"Information systems, information technology, or system administration"
5048.0,Yes,33.0,Yearly,210000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly dissatisfied,Yes,Every few months,No,No,Yes,Visit Stack Overflow,"1,000 to 4,999 employees",AWS;Docker;Kubernetes;Linux;Slack Apps and Integrations,Man,"A natural science (such as biology, chemistry, physics, etc.)"
5077.0,No,29.0,Yearly,90000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,No,Once a year,Not sure,No,Yes,Go for a walk or other physical activity,"1,000 to 4,999 employees",Microsoft Azure;Windows,Man,"A business discipline (such as accounting, finance, marketing, etc.)"
5094.0,No,28.0,Yearly,95000.0,Canada,CAD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very dissatisfied,No,Every few months,No,Yes,No,Call a coworker or friend;Visit Stack Overflow,2 to 9 employees,Docker;Google Cloud Platform;Heroku;Linux,Woman,"Computer science, computer engineering, or software engineering"
5097.0,Yes,30.0,Yearly,23500.0,Portugal,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,No,Every few months,Not sure,Yes,No,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,20 to 99 employees,AWS;Docker;Kubernetes;Linux;Windows,Woman,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
5107.0,No,28.0,Yearly,107000.0,United States,USD,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Very satisfied,Yes,Once a year,Not sure,Yes,No,,500 to 999 employees,MacOS,Woman,"Computer science, computer engineering, or software engineering"
5110.0,No,25.0,Monthly,3000.0,Philippines,EUR,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Slightly satisfied,No,Once every few years,Not sure,Yes,Yes,Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,10 to 19 employees,Docker;Linux;Microsoft Azure;Windows,Man,"Computer science, computer engineering, or software engineering"
5116.0,Yes,28.0,Monthly,5600.0,Singapore,SGD,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Very satisfied,No,Once every few years,No,No,No,Visit Stack Overflow;Go for a walk or other physical activity,10 to 19 employees,AWS;Docker;iOS;Linux;MacOS,Man,"Another engineering discipline (such as civil, electrical, mechanical, etc.)"
5134.0,Yes,28.0,Yearly,90000.0,Germany,EUR,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Slightly satisfied,,Once a year,Not sure,No,No,Visit Stack Overflow;Watch help / tutorial videos,"10,000 or more employees",Arduino;Docker;Linux;Raspberry Pi;Windows,Man,"A natural science (such as biology, chemistry, physics, etc.)"
